time_s,thread,caller_rva,dt,in_x,in_y,current_dt,current_x,current_y,previous_dt,previous_x,previous_y,blend_prev,preclamp_x,preclamp_y,limit,clamped_x,clamped_y,effective_dt,scale_30hz,predicted_out_x,predicted_out_y,actual_out_x,actual_out_y,error_x,error_y,counterfactual_unclamped_out_x,counterfactual_unclamped_out_y,clamp_x,clamp_y
13269.8407285,5324,0x0033F407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13269.84244,5324,0x0033F407,0.03099999949336052,0.0,0.0,0.03099999949336052,0.004480005816913324,0.0,0.0,0.0,0.0,0.0,0.004480005816913324,0.0,2.0,0.004480005816913324,0.0,0.03099999949336052,1.0752688347776445,0.004817210634549459,0.0,0.004817210603505373,0.0,3.104408570486772e-11,0.0,0.004817210634549459,0.0,0,0
13269.8714324,5324,0x0033F407,0.029999999329447746,0.0,0.0,0.029999999329447746,-0.008960011103152976,-0.017920022206305952,0.03099999949336052,0.004480005816913324,0.0,0.5081967228132049,-0.002129838549821258,-0.008813125648321408,2.0,-0.002129838549821258,-0.008813125648321408,0.030508196135560883,1.0926025644131552,-0.0023270670613207024,-0.009629243683851322,-0.002327067544683814,-0.009629244916141033,4.833631116890613e-10,1.2322897112448938e-09,-0.0023270670613207024,-0.009629243683851322,0,0
13269.8767588,5324,0x0033F407,0.006000000052154064,0.0,0.0,0.006000000052154064,0.0,0.0,0.029999999329447746,-0.008960011103152976,-0.017920022206305952,0.8333333290216547,-0.0074666758806614586,-0.014933351761322917,2.0,-0.0074666758806614586,-0.014933351761322917,0.025999999346418515,1.2820513142791667,-0.009572661626098577,-0.019145323252197154,-0.009572661481797695,-0.01914532296359539,-1.4430088200734215e-10,-2.886017640146843e-10,-0.009572661626098577,-0.019145323252197154,0,0
13269.8827182,5324,0x0033F407,0.006000000052154064,0.0,0.0,0.012000000104308128,0.0,0.0,0.029999999329447746,-0.008960011103152976,-0.017920022206305952,0.7142857079501865,-0.006400007874057156,-0.012800015748114311,2.0,-0.006400007874057156,-0.012800015748114311,0.02485714229393979,1.3409961989661239,-0.008582386232463908,-0.017164772464927817,-0.008582386188209057,-0.017164772376418114,-4.425485151948738e-11,-8.850970303897476e-11,-0.008582386232463908,-0.017164772464927817,0,0
13269.8891831,5324,0x0033F407,0.006000000052154064,0.0,0.0,0.017999999225139618,0.0,-0.008960011096529996,0.029999999329447746,-0.008960011103152976,-0.017920022206305952,0.6250000048506386,-0.005600006982932385,-0.014560018083601743,2.0,-0.005600006982932385,-0.014560018083601743,0.02549999934853986,1.307189575879029,-0.007320270752938986,-0.019032703863494357,-0.007320271339267492,-0.019032705575227737,5.86328506579914e-10,1.7117333800387158e-09,-0.007320270752938986,-0.019032703863494357,0,0
13269.8952783,5324,0x0033F407,0.006000000052154064,0.0,0.0,0.024000000208616257,0.0,-0.008960011560122272,0.029999999329447746,-0.008960011103152976,-0.017920022206305952,0.5555555478903491,-0.004977783877515763,-0.013937795183766206,2.0,-0.004977783877515763,-0.013937795183766206,0.027333333007531407,1.2195122096580278,-0.006070468215669353,-0.016997311402315744,-0.006070468574762344,-0.016997311264276505,3.590929914532026e-10,-1.3803923976096755e-10,-0.006070468215669353,-0.016997311402315744,0,0
13269.9011895,5324,0x0033F407,0.006000000052154064,0.0,0.0,0.030000001192092896,0.0,-0.008960011838277637,0.029999999329447746,-0.008960011103152976,-0.017920022206305952,0.49999998447795724,-0.0044800054124988125,-0.01344001688321413,2.0,-0.0044800054124988125,-0.01344001688321413,0.03000000026077035,1.11111110145295,-0.004977783748396733,-0.014933351962654296,-0.004977783653885126,-0.01493335235863924,-9.451160687401483e-11,3.9598494448733756e-10,-0.004977783748396733,-0.014933351962654296,0,0
13269.9071593,5324,0x0033F407,0.006000000052154064,0.0,0.0,0.006000000052154064,0.0,0.0,0.030000001192092896,0.0,-0.008960011838277637,0.8333333376450117,0.0,-0.00746667657053072,2.0,0.0,-0.00746667657053072,0.026000001105583377,1.2820512275353386,0.0,-0.009572661862858262,0.0,-0.009572661481797695,0.0,-3.8106056678144373e-10,0.0,-0.009572661862858262,0,0
13269.9132754,5324,0x0033F407,0.007000000216066837,0.0,0.0,0.013000000268220901,0.0,0.0,0.030000001192092896,0.0,-0.008960011838277637,0.69767442263417,0.0,-0.006251171086065679,2.0,0.0,-0.006251171086065679,0.02486046609756365,1.3408169099693603,0.0,-0.008381675899308393,0.0,-0.008381674997508526,0.0,-9.017998674198946e-10,0.0,-0.008381675899308393,0,0
